"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival","Strongyles"
316,"Females",2004,0,"Lambs",2004,0.39691,63,2.19393720089677,34,"E",0,400
435,"Males",2005,0,"Lambs",2005,0.2389,62,1.15760909395102,34,"G",0,2100
600,"Females",2008,0,"Lambs",2008,0.44138,41,1.74702241468348,34,"C",0,200
814,"Females",2013,0,"Lambs",2013,0.23445,18,1.71077772518074,34,"H",1,200
334,"Females",2004,0,"Lambs",2004,0.12478,63,1.75771202351131,34,"G",0,900
427,"Males",2005,0,"Lambs",2005,0.26906,62,2.15432520066166,35,"A",0,1700
383,"Females",2004,0,"Lambs",2004,0.19031,64,1.72951849785895,35,"F",0,700
169,"Females",2000,0,"Lambs",2000,0.26995,60,2.26714680426748,35,"G",1,400
404,"Females",2005,0,"Lambs",2005,0.29492,63,1.75679494530148,35,"B",1,700
409,"Females",2005,0,"Lambs",2005,0.85051,63,1.7180850045794,35,"F",0,1300
602,"Males",2008,0,"Lambs",2008,0.23226,41,1.88557851664017,35,"H",0,300
815,"Females",2013,0,"Lambs",2013,0.0469,18,1.97401078515779,35,"B",1,500
424,"Females",2005,0,"Lambs",2005,0.23678,62,1.61633645120458,35,"E",1,2100
592,"Males",2008,0,"Lambs",2008,0.05773,42,1.87052458815536,35,"G",1,2100
580,"Females",2008,0,"Lambs",2008,0.1255,42,2.14594230893594,35,"A",0,400
158,"Males",2000,0,"Lambs",2000,0.13509,59,1.84025429351766,35,"G",1,200
337,"Males",2004,0,"Lambs",2004,0.11227,63,2.19435093972306,35,"C",0,600
328,"Males",2004,0,"Lambs",2004,0.05471,63,2.06975198271639,35,"D",0,1200
569,"Females",2008,0,"Lambs",2008,0.48273,42,1.6030066569666,35,"F",1,100
327,"Males",2004,0,"Lambs",2004,0.03888,63,2.17019486077976,35,"B",0,2600
141,"Females",2000,0,"Lambs",2000,0.58421,59,2.29762768003707,35,"D",1,300
585,"Males",2008,0,"Lambs",2008,0.16352,42,2.16634671034451,35,"E",0,1800
429,"Males",2005,0,"Lambs",2005,0.05658,62,1.58992947853164,36,"H",1,600
317,"Females",2004,0,"Lambs",2004,0.18849,63,1.92911438063993,36,"E",0,200
818,"Females",2013,0,"Lambs",2013,0.34695,17,1.4959023411096,36,"F",1,400
