"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","Strongyles","RTL","qPCRPlate","qPCRRow","Survival"
558,"Males",2007,0,"Lambs",2007,500,1.77033204814253,9,"C",0
627,"Males",2009,0,"Lambs",2009,1600,2.02249836101547,9,"F",0
206,"Females",2001,0,"Lambs",2001,500,1.67430381399248,9,"H",0
190,"Females",2001,0,"Lambs",2001,100,1.64836262062795,9,"D",0
202,"Females",2001,0,"Lambs",2001,200,1.53724612158687,9,"H",0
804,"Females",2012,0,"Lambs",2012,0,1.73802418468255,9,"C",1
241,"Males",2001,0,"Lambs",2001,2700,2.11456633300379,94,"G",0
641,"Females",2009,0,"Lambs",2009,700,2.21484230367094,10,"D",0
538,"Males",2007,0,"Lambs",2007,1200,1.77602724119202,10,"F",0
654,"Males",2009,0,"Lambs",2009,900,1.86853856699018,10,"B",1
619,"Females",2009,0,"Lambs",2009,0,1.74792235211941,10,"C",0
228,"Females",2001,0,"Lambs",2001,600,1.57284465011414,10,"E",0
521,"Males",2007,0,"Lambs",2007,100,1.42417164462368,10,"F",0
203,"Females",2001,0,"Lambs",2001,400,1.95345154018388,10,"C",0
553,"Females",2007,0,"Lambs",2007,100,1.94584397972978,10,"D",1
191,"Females",2001,0,"Lambs",2001,600,1.68302518074804,10,"E",0
545,"Males",2007,0,"Lambs",2007,1100,1.5240503548863,10,"C",0
536,"Females",2007,0,"Lambs",2007,700,1.75338576970744,10,"F",1
490,"Males",2007,0,"Lambs",2007,1600,2.02422948724847,94,"H",0
526,"Females",2007,0,"Lambs",2007,200,2.41196487717791,10,"B",0
254,"Males",2001,0,"Lambs",2001,100,1.85519854844696,10,"G",0
533,"Females",2007,0,"Lambs",2007,200,1.8893958229277,11,"F",1
516,"Males",2007,0,"Lambs",2007,100,1.70431150092342,11,"E",0
214,"Females",2001,0,"Lambs",2001,0,2.41942077390879,94,"D",0
507,"Females",2007,0,"Lambs",2007,500,1.81289556723128,11,"C",0
623,"Females",2009,0,"Lambs",2009,400,2.01813076382528,11,"E",1
537,"Females",2007,0,"Lambs",2007,200,1.81868791241785,11,"G",1
198,"Females",2001,0,"Lambs",2001,1800,1.63506952171967,12,"E",0
529,"Females",2007,0,"Lambs",2007,400,1.72622114703661,12,"F",1
227,"Males",2001,0,"Lambs",2001,200,2.0115195329608,12,"G",0
209,"Females",2001,0,"Lambs",2001,1500,2.11720883439239,95,"B",0
513,"Females",2007,0,"Lambs",2007,300,1.78020048882642,12,"E",0
557,"Females",2007,0,"Lambs",2007,300,1.71154017351445,95,"E",1
645,"Females",2009,0,"Lambs",2009,900,1.69247758223144,12,"D",1
233,"Males",2001,0,"Lambs",2001,500,1.92416133262735,95,"F",0
217,"Females",2001,0,"Lambs",2001,900,2.93496773508279,96,"A",0
812,"Females",2012,0,"Lambs",2012,400,1.95578280010063,95,"A",1
652,"Males",2009,0,"Lambs",2009,800,1.79008411210953,12,"F",1
221,"Females",2001,0,"Lambs",2001,100,1.98030971207783,12,"F",0
223,"Females",2001,0,"Lambs",2001,3100,1.88927589756518,13,"H",0
224,"Females",2001,0,"Lambs",2001,2000,1.85018702805024,13,"E",0
240,"Females",2001,0,"Lambs",2001,500,1.57338337147944,95,"F",0
560,"Females",2007,0,"Lambs",2007,300,1.47511730458443,13,"C",0
502,"Males",2007,0,"Lambs",2007,100,1.65204512459772,13,"G",1
629,"Males",2009,0,"Lambs",2009,100,2.01693597379553,13,"H",1
564,"Females",2007,0,"Lambs",2007,400,2.15575841225175,13,"E",1
634,"Males",2009,0,"Lambs",2009,600,1.71357516911481,14,"B",0
218,"Males",2001,0,"Lambs",2001,2800,1.95082489649468,14,"H",0
210,"Males",2001,0,"Lambs",2001,1300,1.60261505245505,14,"D",0
546,"Males",2007,0,"Lambs",2007,400,1.63762817092584,95,"C",1
630,"Females",2009,0,"Lambs",2009,0,1.86218399036069,14,"B",1
549,"Females",2007,0,"Lambs",2007,100,1.80732008721318,14,"B",1
242,"Females",2001,0,"Lambs",2001,0,1.61456479616558,14,"H",0
231,"Males",2001,0,"Lambs",2001,5200,1.72687453505423,14,"D",0
637,"Females",2009,0,"Lambs",2009,200,1.88580358026015,95,"G",0
493,"Males",2007,0,"Lambs",2007,400,2.03929703289823,15,"D",0
197,"Males",2001,0,"Lambs",2001,600,2.06935377821707,15,"E",0
616,"Males",2009,0,"Lambs",2009,1600,1.6861287508691,95,"H",1
515,"Females",2007,0,"Lambs",2007,600,1.97912377325401,15,"B",0
541,"Males",2007,0,"Lambs",2007,400,1.52213570568732,15,"C",1
565,"Females",2007,0,"Lambs",2007,100,1.97885145371574,95,"E",1
808,"Females",2012,0,"Lambs",2012,200,1.99362341524049,95,"F",1
505,"Females",2007,0,"Lambs",2007,400,1.5259327089119,15,"H",1
207,"Females",2001,0,"Lambs",2001,0,2.13870585647139,95,"G",0
561,"Females",2007,0,"Lambs",2007,600,1.9003558115359,16,"B",0
556,"Females",2007,0,"Lambs",2007,700,1.98674801888083,16,"C",1
232,"Males",2001,0,"Lambs",2001,4200,2.1428027936461,16,"D",0
659,"Females",2009,0,"Lambs",2009,400,2.00119704358897,16,"D",0
530,"Females",2007,0,"Lambs",2007,100,1.92071325029746,16,"G",1
193,"Females",2001,0,"Lambs",2001,500,1.80666802467459,95,"B",0
188,"Males",2001,0,"Lambs",2001,600,1.6969591403102,16,"E",0
238,"Females",2001,0,"Lambs",2001,1000,1.97107850281211,16,"D",0
656,"Males",2009,0,"Lambs",2009,200,1.71646910792074,95,"F",0
676,"Females",2009,0,"Lambs",2009,100,2.042022653596,16,"E",1
617,"Females",2009,0,"Lambs",2009,1000,1.80864229827905,17,"A",0
531,"Females",2007,0,"Lambs",2007,100,1.57191132180526,17,"C",0
199,"Females",2001,0,"Lambs",2001,200,1.54082849396373,17,"F",1
208,"Females",2001,0,"Lambs",2001,500,1.70144492136361,17,"G",0
636,"Males",2009,0,"Lambs",2009,400,1.74238514121717,17,"A",1
522,"Females",2007,0,"Lambs",2007,300,1.62024702483477,17,"G",1
532,"Males",2007,0,"Lambs",2007,1800,1.89254826121045,18,"G",0
520,"Females",2007,0,"Lambs",2007,100,1.76785912040012,18,"B",1
547,"Females",2007,0,"Lambs",2007,700,1.59378461004598,18,"F",0
657,"Females",2009,0,"Lambs",2009,200,1.64136128633313,18,"C",1
234,"Males",2001,0,"Lambs",2001,800,1.54865202939839,18,"F",0
504,"Males",2007,0,"Lambs",2007,700,2.29848230810483,18,"D",1
642,"Males",2009,0,"Lambs",2009,300,1.59406169087768,18,"F",0
205,"Females",2001,0,"Lambs",2001,700,1.49178589824828,18,"H",0
186,"Males",2001,0,"Lambs",2001,1900,1.48192941435243,18,"F",0
195,"Males",2001,0,"Lambs",2001,1200,1.72465605146602,19,"C",0
668,"Females",2009,0,"Lambs",2009,200,1.87914112240048,19,"E",0
535,"Females",2007,0,"Lambs",2007,200,1.69965449016861,19,"F",1
681,"Females",2009,0,"Lambs",2009,50,1.78407415530743,19,"H",0
235,"Females",2001,0,"Lambs",2001,1000,1.75511668817314,19,"D",0
550,"Females",2007,0,"Lambs",2007,400,1.39541669625695,19,"E",0
625,"Males",2009,0,"Lambs",2009,1100,2.1976244188592,19,"H",0
806,"Females",2012,0,"Lambs",2012,0,1.80303733509475,19,"D",1
222,"Females",2001,0,"Lambs",2001,1500,1.96318379994391,19,"H",0
194,"Females",2001,0,"Lambs",2001,300,1.92538534558466,19,"B",0
495,"Females",2007,0,"Lambs",2007,300,1.58269086895205,19,"F",1
